Cemetery	בית עלמין
Dread's Ship	ספינתו של טלטלה
Woodtick	כנימת עץ
Peninsula	חצי אי
Beach	חוף
Swamp	ביצה
houseboat	בית-סירה
`Steamin' Weenies! -- 20 ft.`	`נקניקיות מהבילות! -- 6 מטר`
sign	שלט
Fink	פינק
Bart	בארט
Too heavy.	כבד מדי.
log	בול עץ
Nice stick.	מקל נחמד. 
stick	מקל
weenie hut	בקתת נקניקיות
`Rapp Scallion's Steamin' Weenie Hut^	`בקתת הנקניקיות המהבילות של מוני מהומה^
^place order here.`	^הזמינו כאן.`
sign	שלט
path	דרך
door	דלת
Looks closed.	הדלת סגורה. 
For what?  It's closed down.	לשם מה? זה סגור.
shack@@@@@@	בקתה@@@@@@@
weenie hut	בקתת נקניקיות
Ha!	חה!
Those guys wouldn't know a good story even if they paid fifty bucks for it.	החבר׳ה האלה לא יזהו סיפור טוב גם אם הם ישלמו עליו חמישים דולר.
When I find Big Whoop I'll become a legend among pirates for generations to come.	כשאמצא את א גרוייסע מציאה אהיה אגדה בקרב הפיראטים לדורות הבאים.
If I could only charter a ship and get off this stinking island^	לו רק הייתי יכול לשכור ספינה ולעוף מהאי המצחין הזה^
Guybrush	ברנשצבע
E`@@@@@@@	E`@@@@@@@
monkey2.cfg	monkey2.cfg
@@@@@@@@@@@	@@@@@@@@@@@
	
Easy Mode	רמת קושי קלה
Regular Mode	רמת קושי רגילה
Monkey 2 - Talkie CD 0.2 beta - \xFF\x07\x1A\x00\xFE\x01	אי הקופים 2 - מדובב על גבי תקליטור גירסה 0.2 בטא - \xFF\x07\x1A\x00\xFE\x01
Game Paused.  Press SPACE to Continue.	המשחק נעצר. נא ללחוץ על רווח כדי להמשיך. 
Insert Disk %c and Press Button to Continue.	הכניסו את תקליטור %c ולחצו על מקש כלשהו כדי להמשיך.
Unable to Find %s, (%c%d) Press Button.	לא ניתן למצוא את %s , 
Error reading disk %c, (%c%d) Press Button.	שגיאה בקריאת התקליטור  %c, (%c%d) לחצו על מקש כלשהו כדי להמשיך
Are you sure you want to restart?  (Y/N)Y	האם אתם בטוחים שברצונכם להתחיל מהתחלה?  (כ/ל)כ
Are you sure you want to quit?  (Y/N)Y	האם אתם בטוחים שברצונכם לצאת?  (כ/ל)כ
Save	שמירה
Load	טעינה
Play	הפעל
Cancel	ביטול
Quit	יציאה מהמשחק
OK	אישור
Insert save/load game disk	הזינו כונן עבור שמירת/טעינת משחק
You must enter a name	חובה להכניס שם 
The game was NOT saved (disk full?)	המשחק לא נשמר (האם הכונן מלא?)
The game was NOT loaded	המשחק לא נטען
Saving '%s'	שומר... '%s'
Loading '%s'	טוען... '%s'
Name your SAVE game	קראו למשחק השמור שלכם בשם
Select a game to LOAD	בחרו משחק שמור לטעינה
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
Guybrush	ברנשצבע
Debugging mode not active	מצב ניפוי תקלים אינו פעיל
bucket o' mud	דלי בוץ
